Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
POLR3E	16p12.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SGSM3	22q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ASPG	14q32.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF641	12q13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TOM1L1	17q22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PAXIP1	7q36.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AKR7A3	1p36.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RBMS1	2q24.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TCF25	16q24.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CCDC102A	16q21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRPH2	6p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SMC4	3q25.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GJC1	17q21.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
WDR12	2q33.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TMEM121B	22q11.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZYG11B	1p32.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ELK4	1q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HS1BP3	2p24.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC25A37	8p21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ENO3	17p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FBXO30	6q24.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
BRD2	6p21.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GTDC1	2q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ABCE1	4q31.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CSGALNACT1	8p21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
METTL2B	7q32.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LIN28A	1p36.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CDC40	6q21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PRIMA1	14q32.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PDS5B	13q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CSAD	12q13.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ENDOD1	11q21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CATSPERE	1q44	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZCCHC7	9p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RXRG	1q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SETD3	14q32.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GRTP1	13q34	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FANCB	Xp22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SCARA3	8p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KDM4C	9p24.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ADGRG2	Xp22.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VPS16	20p13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RHBDD1	2q36.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ALX4	11p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF441	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CAMKK1	17p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VEGFD	Xp22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FOXD4	9p24.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SDHA	5p15.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF846	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ETV7	6p21.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MPZL2	11q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NTN5	19q13.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DDI2	1p36.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TSNARE1	8q24.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FZD2	17q21.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HPS3	3q24	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KLHL7	7p15.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C10ORF128	10q11.23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GALR1	18q23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC7A4	22q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC9A1	1p36.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC9A3	5p15.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC11A1	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GATA4	8p23.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
EPC1	10p11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC34A1	5q35.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLC37A2	11q24.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NR6A1	9q33.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
JMY	5q14.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MCF2L	13q34	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SNAPC2	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DCAF4L1	4p13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OCLN	5q13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GK	Xp21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
WTIP	19q13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CEP76	18p11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SP4	7p15.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GNAT2	1p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SPI1	11p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SPATA19	11q25	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GNB3	12p13.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SMTNL2	17p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GNGT2	17q21.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GPR18	13q32.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TMEM8B	9p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SS18	18q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CASC4	15q15.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GRK5	10q26.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NDRG1	8q24.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TUBA8	22q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TEX13B	Xq22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KRTAP26-1	21q22.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CDAN1	15q15.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SYT5	19q13.42|11p	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TAF4B	18q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GLYR1	16p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IGHV3-35	14q32.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GUSB	7q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DHRSX	Xp22.33 and Yp11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IGHV3-15	14q32.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ATP1B4	Xq24	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DTX3	12q13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TIMM44	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRIM38	6p22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TCF3	19p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C12ORF77	12p12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
QPRT	16p11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C1ORF61	1q22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
USP30	12q24.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CBX7	22q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SYNCRIP	6q14.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HELLS	10q23.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
AZIN2	1p35.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
POFUT1	20q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZC3H12A	1p34.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MNX1	7q36.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CIB2	15q25.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRBV19	7q34	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ASRGL1	11q12.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IPO8	12p11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PGGHG	11p15.5	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
DNPEP	2q35	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VSIG2	11q24.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HNRNPK	9q21.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MFSD2A	1p34.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SLU7	5q33.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
PPP1R18	6p21.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF431	19p12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TNNC2	20q13.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SPPL2A	15q21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C15ORF53	15q14	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAB21L2	4q31.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
C9ORF3	9q22.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HPS1	10q24.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ORAI2	7q22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FIZ1	19q13.42	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KHDC1L	6q13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HSPA8	11q24.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TEKT4	2q11.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TTPA	8q12.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CLEC4D	12p13.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CD226	18q22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TRIM39	6p22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IFIT2	10q23.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IFNA14	9p21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IFNW1	9p21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SHROOM1	5q31.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
WNT5B	12p13.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RBPJ	4p15.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF266	19p13.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GLRA4	Xq22.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VEGFA	6p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
UBQLN4	1q22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GJB6	13q12.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
VIPR1	3p22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
EML2	19q13.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CD300LF	17q25.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TSPAN9	12p13.33-p13.32	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
TNFRSF9	1p36.23	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
WNT9A	1q42.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RTN4RL1	17p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF880	19q13.41	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RIMBP3	22q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SH2D5	1p36.12	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IRAK1	Xq28	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IRF2	4q35.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF10	12q24.33	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GPR75	2p16.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OR10W1	11q12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GAL3ST3	11q13.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FAM177B	1q41	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ANKMY2	7p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
IMMT	2p11.2|2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KANSL1L	2q34	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF138	7q11.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KLK11	19q13.41	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF143	11p15.4	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KCNMB1	5q35.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HRASLS	3q29	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
FATE1	Xq28	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KIF3C	2p23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KIF5B	10p11.22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
HSF2BP	21q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CAB39L	13q14.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ANKRD20A4	9q13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
CXCR4	2q22.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
MAPKAPK3	3p21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KRT33B	17q21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KLC4	6p21.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KTN1	14q22.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NUDT4	12q22	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
GTPBP10	7q21.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LDHA	11p15.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NSUN6	10p12.31	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SYT8	11p15.5	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LGALS9	17q11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
RASSF8	12p12.1	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
KRTAP4-6	17q21.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
OLIG3	6q23.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ASPRV1	2p13.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LPL	8p21.3	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
LRP3	19q13.11	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
SMAD1	4q31.21	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ASB12	Xq11.2	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
ZNF678	1q42.13	5 (2.31%)	1 (0.66%)	1.81	0.214	0.465	Co-occurrence	
NDST4	4q26	30 (13.89%)	16 (10.60%)	0.39	0.219	0.477	Co-occurrence	
NUTM1	15q14	22 (10.19%)	11 (7.28%)	0.48	0.222	0.483	Co-occurrence	
TEP1	14q11.2	22 (10.19%)	11 (7.28%)	0.48	0.222	0.483	Co-occurrence	
NOTCH2	1p12	13 (6.02%)	13 (8.61%)	-0.52	0.227	0.493	Mutual exclusivity	
NETO1	18q22.3	13 (6.02%)	13 (8.61%)	-0.52	0.227	0.493	Mutual exclusivity	
SPEF2	5p13.2	36 (16.67%)	20 (13.25%)	0.33	0.228	0.493	Co-occurrence	
ZFPM2	8q23.1	36 (16.67%)	20 (13.25%)	0.33	0.228	0.493	Co-occurrence	
AGL	1p21.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
VWA2	10q25.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
DGKD	2q37.1	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
OR8A1	11q24.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
OR6C1	12q13.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ARHGAP33	19q13.12	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
OR4N5	14q11.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ADGRF2	6p12.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ANKRD17	4q13.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
NTN4	12q22	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
TNFRSF21	6p12.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
OR13C2	9q31.1	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
GAD1	2q31.1	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
SEL1L2	20p12.1	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
DENND2C	1p13.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ARHGEF12	11q23.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
TAT	16q22.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
THBS2	6q27	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
PNPLA7	9q34.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
MUC13	3q21.2	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ITGB2	21q22.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
PGLYRP4	1q21.3	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
ARHGEF5	7q35	12 (5.56%)	5 (3.31%)	0.75	0.228	0.493	Co-occurrence	
KCNH8	3p24.3	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
ELFN2	22q13.1	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
NLGN4X	Xp22.32-p22.31	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
NRP1	10p11.22	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
CRYBG1	6q21	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
CHD8	14q11.2	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
PPP4R4	14q32.12-q32.13	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
NEFM	8p21.2	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
SETBP1	18q12.3	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
CEP350	1q25.2	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
ELOA3	18q21.1	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
DLC1	8p22	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
PIKFYVE	2q34	17 (7.87%)	8 (5.30%)	0.57	0.228	0.493	Co-occurrence	
DSC2	18q12.1	25 (11.57%)	13 (8.61%)	0.43	0.230	0.498	Co-occurrence	
GHR	5p13.1-p12	25 (11.57%)	13 (8.61%)	0.43	0.230	0.498	Co-occurrence	
CHL1	3p26.3	25 (11.57%)	13 (8.61%)	0.43	0.230	0.498	Co-occurrence	
CTNND2	5p15.2	28 (12.96%)	15 (9.93%)	0.38	0.236	0.511	Co-occurrence	
PCDHB4	5q31.3	28 (12.96%)	15 (9.93%)	0.38	0.236	0.511	Co-occurrence	
IL37	2q14.1	7 (3.24%)	8 (5.30%)	-0.71	0.237	0.512	Mutual exclusivity	
RBMXL2	11p15.4	7 (3.24%)	8 (5.30%)	-0.71	0.237	0.512	Mutual exclusivity	
SYT4	18q12.3	7 (3.24%)	8 (5.30%)	-0.71	0.237	0.512	Mutual exclusivity	
ZNF135	19q13.43	7 (3.24%)	8 (5.30%)	-0.71	0.237	0.512	Mutual exclusivity	
LRRIQ3	1p31.1	20 (9.26%)	10 (6.62%)	0.48	0.239	0.518	Co-occurrence	
USP26	Xq26.2	20 (9.26%)	10 (6.62%)	0.48	0.239	0.518	Co-occurrence	
CCDC141	2q31.2	31 (14.35%)	17 (11.26%)	0.35	0.241	0.520	Co-occurrence	
PRAMEF11	1p36.21	12 (5.56%)	12 (7.95%)	-0.52	0.241	0.521	Mutual exclusivity	
OR51E1	11p15.4	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
FAM183BP	7p14.1	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
TMPRSS11F	4q13.2	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
TRIM24	7q33-q34	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
CXORF67	Xp11.22	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
RECK	9p13.3	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
AKAP4	Xp11.22	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
SORBS2	4q35.1	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
PKP4	2q24.1	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
DGKZ	11p11.2	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
OR5M1	11q12.1	10 (4.63%)	4 (2.65%)	0.81	0.246	0.527	Co-occurrence	
