Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
RN7SL272P	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL302P	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL307P	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL30P	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL314P	10p11.21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL354P	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL379P	Xq21.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL453P	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL474P	8p22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL494P	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL571P	13q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL577P	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL5P	9p23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL621P	8p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL633P	22q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL670P	2q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL678P	21q22.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL706P	14q24.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL709P	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL712P	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL720P	9p22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL727P	Xq27.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL73P	3q29	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL741P	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL764P	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL766P	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL849P	9p23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL850P	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RN7SL93P	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP101	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP120	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP25	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP258	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP259	8p21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP26	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP260	8p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP264	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP301	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP302	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP305	10p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP306	10p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP310	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP311	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP312	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP32	--	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP331	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP332	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP333	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP334	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP335	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP336	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP337	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP338	11p14.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP361	12q12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP369	12q23.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP394	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP395	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP396	15q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP405	16p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP491	21q22.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP492	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP510	Xq21.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP511	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP512	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNA5SP516	Xq27.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF122	8p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF128	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF149	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF17	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF185	22q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF215	22q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF25	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNF6	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNU4ATAC11P	9p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNU6ATAC23P	Xq27.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY1P1	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY1P3	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY1P7	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY3P4	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY3P7	13q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY3P9	13q14.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RNY4P14	13q14.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ROGDI	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ROM1	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPA4	Xq21.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL18	19q13.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL21	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL31	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL35	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL36A	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL37A	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPL39	Xq24	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPP38	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPS13	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPS20P22	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RPSAP58	19p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
CNOT9	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RRAS2	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RRP1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RRP1B	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RSL24D1	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RSPH1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RSU1	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RUFY4	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
RUNX1	21q22.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAA1	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAA2	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAA3P	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAA4	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAAL1	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SACS	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
SAP18	13q12.11	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AAMP	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ABCB6	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ABCC8	11p15.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ABCG1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ABHD17B	9q21.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ABI2	2q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ACBD7	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ACCS	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ACCSL	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ACSL4	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ACVR1B	12q13.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADAM10	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADAM21P1	14q24.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADAM28	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADAM7	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADAMDEC1	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADARB1	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADCY9	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADGRD2	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADGRG1	16q21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADGRG3	16q21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADGRG5	16q21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADRA2B	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ADRB3	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AGAP10P	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AGAP4	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AGAP9	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AGPAT3	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AGTR2	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AHNAK	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AIRE	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AKAP2	9q31.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALDH1A2	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALG1	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALG13	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALG5	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALKBH3	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ALX4	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AMBP	9q32	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AMER2	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AMMECR1	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AMOT	Xq23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKRD20A19P	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKRD23	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKRD29	18q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKRD36C	2q11.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKRD39	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKS3	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANKZF1	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANO5	11p14.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANTXRL	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANTXRLP1	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANXA2	15q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANXA8	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ANXA8L1	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AP4E1	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
API5	11p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AQP3	9p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARFGAP2	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARHGAP21	10p12.1|10p12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARHGEF12	11q23.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARID5A	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARL13A	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARL2BPP3	13q13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX1	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX2	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX3	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX4	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX5	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARMCX6	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARPC2	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ARPC5L	9q33.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASAH2B	10q11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASH2L	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASIC4	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASRGL1	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASTL	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ASTN2	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATF1	12q13.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATG101	12q13.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATG4A	Xq22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATG9A	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATP11C	Xq27.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATP12A	13q12.12|13q12.1-q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATP5F1EP2	13q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATP8A2	13q12.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATP8B4	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
ATXN8OS	13q21.33	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
AURKC	19q13.43	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
B3GALT5	21q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
B3GALT5-AS1	21q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
B3GAT3	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BACE2	21q22.2-q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BAG4	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BCL2L10	15q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BCL2L11	2q13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BCS1L	2q35	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BEST1	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BEX1	Xq22.1|Xq22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BEX2	Xq22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BEX4	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BHLHB9	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BIN2	12q13.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BMPR2	2q33.1-q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BMS1P1	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BMS1P2	10q11.22	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BNC2	9p22.3-p22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BNIP2	15q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BNIP3L	8p21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BRF2	8p11.23	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BRINP1	9q33.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BRWD1	21q22.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BSCL2	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
BTK	Xq22.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
DEPP1	10q11.21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C10ORF111	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C10ORF25	10q11.21	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C10ORF67	10p12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C11ORF58	11p15.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C11ORF74	11p12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C11ORF94	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C11ORF96	11p11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C11ORF98	11q12.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C12ORF80	12q13.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
TERB2	15q21.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C15ORF65	15q21.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C16ORF71	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C16ORF82	16p12.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C16ORF89	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C16ORF90	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C16ORF96	16p13.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C18ORF54	18q21.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C1QL3	10p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C1QTNF9	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C1QTNF9B	13q12.12	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C20ORF96	20p13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C21ORF2	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C21ORF33	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C2CD2	21q22.3	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C2ORF15	2q11.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C2ORF40	2q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C2ORF49	2q12.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C5	9q33.2	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C5ORF24	5q31.1	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C9ORF3	9q22.32	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C9ORF57	9q21.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
C9ORF85	9q21.13	0 (0.00%)	1 (0.66%)	<-10	0.414	0.659	Mutual exclusivity	
